order_date,otif,fill,ordered,fill_rate
2026-04-16,0.24615384615384617,3377,3903,0.865231872918268
2026-04-17,0.17886178861788618,3140,3791,0.8282774993405434
2026-04-18,0.19480519480519481,4054,5057,0.8016610638718608
2026-04-19,0.22408026755852842,3879,5064,0.7659952606635071
2026-04-20,0.21245421245421245,3137,4273,0.7341446290662298
2026-04-21,0.16304347826086957,2878,4194,0.6862184072484502
2026-04-22,0.20430107526881722,2599,4091,0.6352969934001467
2026-04-23,0.2017167381974249,2190,3703,0.5914123683499865
2026-04-24,0.19795221843003413,2544,4478,0.5681107637338098
2026-04-25,0.19594594594594594,2641,5126,0.5152165431135388
2026-04-26,0.19375,2806,5243,0.5351897768453175
2026-04-27,0.19047619047619047,2924,5179,0.5645877582544893
2026-04-28,0.16602316602316602,2215,4094,0.5410356619443087
2026-04-29,0.18875502008032127,1931,3637,0.5309320868847952
2026-04-30,0.1950354609929078,2074,4364,0.4752520623281393
2026-05-01,0.19413919413919414,2401,4299,0.558501977204001
2026-05-02,0.15838509316770186,2641,5389,0.49007236964186307
2026-05-03,0.1867816091954023,3292,5686,0.5789658811115019
2026-05-04,0.18120805369127516,2335,4800,0.4864583333333333
2026-05-05,0.17391304347826086,2410,4468,0.5393912264995524
2026-05-06,0.21328671328671328,2685,5266,0.5098746676794531
2026-05-07,0.19230769230769232,2617,5027,0.520588820370002
2026-05-08,0.18181818181818182,2800,5091,0.5499901787468081
2026-05-09,0.17464788732394365,3719,6702,0.5549089823933154
2026-05-10,0.21568627450980393,3659,6515,0.5616270145817345
2026-05-11,0.18152866242038215,2802,5490,0.5103825136612021
2026-05-12,0.14,2044,4844,0.42196531791907516
2026-05-13,0.21352313167259787,2080,4153,0.5008427642667951
2026-05-14,0.16224188790560473,2723,5623,0.48426107060288104
2026-05-15,0.1708185053380783,2640,4777,0.5526481055055474
2026-05-16,0.21428571428571427,2541,5202,0.4884659746251442
2026-05-17,0.209375,2822,5691,0.4958706729924442
2026-05-18,0.2109375,2274,4229,0.5377157720501301
2026-05-19,0.2026578073089701,2661,5168,0.5148993808049536
2026-05-20,0.18181818181818182,2258,3943,0.5726604108546792
2026-05-21,0.20069204152249134,2696,4880,0.5524590163934426
2026-05-22,0.22837370242214533,3057,5104,0.5989420062695925
2026-05-23,0.25,3361,5541,0.6065692113336942
2026-05-24,0.2041522491349481,3095,5089,0.6081744940066811
2026-05-25,0.199288256227758,2870,4321,0.6641981022911363
2026-05-26,0.2040133779264214,3395,5121,0.6629564538176137
2026-05-27,0.24324324324324326,2869,4061,0.7064762373799557
2026-05-28,0.2080536912751678,3277,4716,0.6948685326547922
2026-05-29,0.21052631578947367,3929,5345,0.7350795135640785
2026-05-30,0.2246153846153846,4556,6027,0.7559316409490625
2026-05-31,0.146875,4536,6104,0.7431192660550459
