order_id,order_date,requested_delivery_date,actual_delivery_date,depot,customer_id,channel,distance_km,sku_id,sku_name,brand,sugar_type,pack_format,ordered_cases,delivered_cases,on_time,in_full,otif,failure_reason,net_realization_per_case,contrib_margin_per_case,shortfall_cases,lost_revenue_inr,lost_margin_inr
SO200011,2026-01-01,2026-01-03,2026-01-03,BLR-South,CUST1094,Modern-Trade,33.5,TU-PET-750,Thums Up 750ml PET,Thums Up,Reg,PET,4,4,1,1,1,None,350,100,0,0,0
SO200012,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1310,Modern-Trade,13.8,TU-PET-750,Thums Up 750ml PET,Thums Up,Reg,PET,20,15,1,0,0,DC stock-out (forecast miss),350,100,5,1750,500
SO200013,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1054,General-Trade,33.8,CC-PET-750,Coca-Cola 750ml PET,Coca-Cola,Reg,PET,31,31,1,1,1,None,360,104,0,0,0
SO200014,2026-01-01,2026-01-02,2026-01-02,BLR-North,CUST1347,Quick-Commerce,32.1,TU-PET-750,Thums Up 750ml PET,Thums Up,Reg,PET,11,11,1,1,1,None,350,100,0,0,0
SO200015,2026-01-01,2026-01-03,2026-01-03,BLR-East,CUST1516,Modern-Trade,7.9,DC-CAN-250,Diet Coke 250ml Can,Diet Coke,Zero,CAN,23,23,1,1,1,None,470,150,0,0,0
SO200016,2026-01-01,2026-01-02,2026-01-02,BLR-South,CUST1027,Quick-Commerce,11.1,DC-CAN-250,Diet Coke 250ml Can,Diet Coke,Zero,CAN,6,6,1,1,1,None,470,150,0,0,0
SO200017,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1341,HoReCa,8.6,CZ-CAN-300,Coke Zero 300ml Can,Coke Zero,Zero,CAN,2,2,1,1,1,None,520,160,0,0,0
SO200018,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1491,General-Trade,19.6,TU-PET-750,Thums Up 750ml PET,Thums Up,Reg,PET,16,16,1,1,1,None,350,100,0,0,0
SO200019,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1440,General-Trade,4.0,TU-PET-750,Thums Up 750ml PET,Thums Up,Reg,PET,9,9,1,1,1,None,350,100,0,0,0
SO200020,2026-01-01,2026-01-02,2026-01-02,BLR-East,CUST1204,Quick-Commerce,10.3,CZ-CAN-300,Coke Zero 300ml Can,Coke Zero,Zero,CAN,1,1,1,1,1,None,520,160,0,0,0
SO200021,2026-01-01,2026-01-03,2026-01-04,BLR-North,CUST1054,General-Trade,33.8,CZ-PET-750,Coke Zero 750ml PET,Coke Zero,Zero,PET,6,4,0,0,0,Damage / quality rejection,430,132,2,860,264
SO200022,2026-01-01,2026-01-03,2026-01-03,BLR-East,CUST1480,Modern-Trade,5.8,CZ-PET-750,Coke Zero 750ml PET,Coke Zero,Zero,PET,15,15,1,1,1,None,430,132,0,0,0
SO200023,2026-01-01,2026-01-03,2026-01-03,BLR-South,CUST1479,Modern-Trade,44.9,CZ-CAN-300,Coke Zero 300ml Can,Coke Zero,Zero,CAN,19,19,1,1,1,None,520,160,0,0,0
SO200024,2026-01-01,2026-01-02,2026-01-02,BLR-North,CUST1301,Quick-Commerce,41.4,TU-PET-750,Thums Up 750ml PET,Thums Up,Reg,PET,4,4,1,1,1,None,350,100,0,0,0
SO200025,2026-01-01,2026-01-02,2026-01-02,BLR-North,CUST1509,Quick-Commerce,27.3,CZ-CAN-300,Coke Zero 300ml Can,Coke Zero,Zero,CAN,5,5,1,1,1,None,520,160,0,0,0
SO200026,2026-01-01,2026-01-03,2026-01-03,BLR-South,CUST1002,General-Trade,22.6,DC-CAN-300,Diet Coke 300ml Can,Diet Coke,Zero,CAN,35,35,1,1,1,None,540,168,0,0,0
SO200027,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1320,HoReCa,4.3,CZ-CAN-300,Coke Zero 300ml Can,Coke Zero,Zero,CAN,8,8,1,1,1,None,520,160,0,0,0
SO200028,2026-01-01,2026-01-03,2026-01-03,BLR-East,CUST1020,General-Trade,34.3,CZ-CAN-300,Coke Zero 300ml Can,Coke Zero,Zero,CAN,17,17,1,1,1,None,520,160,0,0,0
SO200029,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1486,Modern-Trade,11.0,DC-CAN-250,Diet Coke 250ml Can,Diet Coke,Zero,CAN,2,2,1,1,1,None,470,150,0,0,0
SO200030,2026-01-01,2026-01-03,2026-01-03,BLR-East,CUST1353,General-Trade,33.8,CC-PET-750,Coca-Cola 750ml PET,Coca-Cola,Reg,PET,27,27,1,1,1,None,360,104,0,0,0
SO200031,2026-01-01,2026-01-02,2026-01-02,BLR-North,CUST1474,Quick-Commerce,9.0,TU-PET-750,Thums Up 750ml PET,Thums Up,Reg,PET,11,11,1,1,1,None,350,100,0,0,0
SO200032,2026-01-01,2026-01-03,2026-01-03,BLR-South,CUST1292,HoReCa,22.2,CC-PET-750,Coca-Cola 750ml PET,Coca-Cola,Reg,PET,8,8,1,1,1,None,360,104,0,0,0
SO200033,2026-01-01,2026-01-03,2026-01-03,BLR-South,CUST1043,Modern-Trade,31.2,CC-PET-750,Coca-Cola 750ml PET,Coca-Cola,Reg,PET,19,19,1,1,1,None,360,104,0,0,0
SO200034,2026-01-01,2026-01-03,2026-01-03,BLR-East,CUST1013,General-Trade,7.2,TU-PET-750,Thums Up 750ml PET,Thums Up,Reg,PET,2,2,1,1,1,None,350,100,0,0,0
SO200035,2026-01-01,2026-01-02,2026-01-02,BLR-North,CUST1174,Quick-Commerce,42.5,CZ-PET-750,Coke Zero 750ml PET,Coke Zero,Zero,PET,9,9,1,1,1,None,430,132,0,0,0
SO200036,2026-01-01,2026-01-03,2026-01-03,BLR-East,CUST1386,General-Trade,37.7,CZ-CAN-300,Coke Zero 300ml Can,Coke Zero,Zero,CAN,24,24,1,1,1,None,520,160,0,0,0
SO200037,2026-01-01,2026-01-03,2026-01-03,BLR-East,CUST1078,General-Trade,19.5,TU-PET-750,Thums Up 750ml PET,Thums Up,Reg,PET,4,4,1,1,1,None,350,100,0,0,0
SO200038,2026-01-01,2026-01-02,2026-01-03,BLR-North,CUST1443,Quick-Commerce,30.5,CZ-CAN-300,Coke Zero 300ml Can,Coke Zero,Zero,CAN,4,4,0,1,0,Late dispatch from DC,520,160,0,0,0
SO200039,2026-01-01,2026-01-02,2026-01-02,BLR-South,CUST1124,Quick-Commerce,43.3,TU-PET-750,Thums Up 750ml PET,Thums Up,Reg,PET,5,5,1,1,1,None,350,100,0,0,0
SO200040,2026-01-01,2026-01-02,2026-01-02,BLR-South,CUST1258,Quick-Commerce,22.0,TU-PET-750,Thums Up 750ml PET,Thums Up,Reg,PET,6,6,1,1,1,None,350,100,0,0,0
SO200041,2026-01-01,2026-01-03,2026-01-03,BLR-South,CUST1105,General-Trade,19.5,CC-PET-750,Coca-Cola 750ml PET,Coca-Cola,Reg,PET,11,11,1,1,1,None,360,104,0,0,0
SO200042,2026-01-01,2026-01-02,2026-01-02,BLR-South,CUST1242,Quick-Commerce,44.7,CZ-PET-750,Coke Zero 750ml PET,Coke Zero,Zero,PET,9,9,1,1,1,None,430,132,0,0,0
SO200043,2026-01-01,2026-01-03,2026-01-03,BLR-East,CUST1235,General-Trade,11.3,DC-CAN-300,Diet Coke 300ml Can,Diet Coke,Zero,CAN,16,16,1,1,1,None,540,168,0,0,0
SO200044,2026-01-01,2026-01-03,2026-01-03,BLR-South,CUST1002,General-Trade,22.6,CZ-CAN-300,Coke Zero 300ml Can,Coke Zero,Zero,CAN,6,6,1,1,1,None,520,160,0,0,0
SO200045,2026-01-01,2026-01-03,2026-01-04,BLR-East,CUST1295,HoReCa,17.2,CC-PET-750,Coca-Cola 750ml PET,Coca-Cola,Reg,PET,5,5,0,1,0,Vehicle unavailability,360,104,0,0,0
SO200046,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1409,HoReCa,30.8,CC-PET-750,Coca-Cola 750ml PET,Coca-Cola,Reg,PET,1,1,1,1,1,None,360,104,0,0,0
SO200047,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1486,Modern-Trade,11.0,CC-PET-750,Coca-Cola 750ml PET,Coca-Cola,Reg,PET,20,20,1,1,1,None,360,104,0,0,0
SO200048,2026-01-01,2026-01-03,2026-01-03,BLR-East,CUST1171,Modern-Trade,14.2,CC-PET-750,Coca-Cola 750ml PET,Coca-Cola,Reg,PET,10,10,1,1,1,None,360,104,0,0,0
SO200049,2026-01-01,2026-01-03,2026-01-03,BLR-East,CUST1457,Modern-Trade,21.3,CZ-CAN-300,Coke Zero 300ml Can,Coke Zero,Zero,CAN,16,16,1,1,1,None,520,160,0,0,0
SO200050,2026-01-01,2026-01-03,2026-01-03,BLR-South,CUST1456,HoReCa,12.5,DC-CAN-300,Diet Coke 300ml Can,Diet Coke,Zero,CAN,19,19,1,1,1,None,540,168,0,0,0
SO200051,2026-01-01,2026-01-02,2026-01-02,BLR-South,CUST1513,Quick-Commerce,17.1,DC-PET-750,Diet Coke 750ml PET,Diet Coke,Zero,PET,5,5,1,1,1,None,450,138,0,0,0
SO200052,2026-01-01,2026-01-03,2026-01-03,BLR-East,CUST1193,General-Trade,41.6,CC-PET-750,Coca-Cola 750ml PET,Coca-Cola,Reg,PET,6,6,1,1,1,None,360,104,0,0,0
SO200053,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1442,General-Trade,40.7,DC-CAN-250,Diet Coke 250ml Can,Diet Coke,Zero,CAN,10,10,1,1,1,None,470,150,0,0,0
SO200054,2026-01-01,2026-01-02,2026-01-04,BLR-East,CUST1293,Quick-Commerce,42.4,TU-PET-750,Thums Up 750ml PET,Thums Up,Reg,PET,1,1,0,1,0,Route / traffic delay,350,100,0,0,0
SO200055,2026-01-01,2026-01-03,2026-01-03,BLR-East,CUST1030,General-Trade,4.2,CZ-CAN-300,Coke Zero 300ml Can,Coke Zero,Zero,CAN,29,29,1,1,1,None,520,160,0,0,0
SO200056,2026-01-01,2026-01-03,2026-01-03,BLR-South,CUST1140,Modern-Trade,8.0,CC-PET-750,Coca-Cola 750ml PET,Coca-Cola,Reg,PET,21,21,1,1,1,None,360,104,0,0,0
SO200057,2026-01-01,2026-01-02,2026-01-02,BLR-East,CUST1349,Quick-Commerce,44.7,CC-PET-750,Coca-Cola 750ml PET,Coca-Cola,Reg,PET,5,5,1,1,1,None,360,104,0,0,0
SO200058,2026-01-01,2026-01-02,2026-01-02,BLR-North,CUST1083,Quick-Commerce,27.4,DC-CAN-300,Diet Coke 300ml Can,Diet Coke,Zero,CAN,2,2,1,1,1,None,540,168,0,0,0
SO200059,2026-01-01,2026-01-02,2026-01-02,BLR-North,CUST1226,Quick-Commerce,41.8,CZ-CAN-300,Coke Zero 300ml Can,Coke Zero,Zero,CAN,19,19,1,1,1,None,520,160,0,0,0
SO200060,2026-01-01,2026-01-03,2026-01-03,BLR-East,CUST1402,General-Trade,7.5,TU-PET-750,Thums Up 750ml PET,Thums Up,Reg,PET,7,7,1,1,1,None,350,100,0,0,0
SO200061,2026-01-01,2026-01-03,2026-01-05,BLR-South,CUST1077,General-Trade,40.0,CC-PET-750,Coca-Cola 750ml PET,Coca-Cola,Reg,PET,20,20,0,1,0,Route / traffic delay,360,104,0,0,0
SO200062,2026-01-01,2026-01-02,2026-01-02,BLR-South,CUST1258,Quick-Commerce,22.0,CC-CAN-300,Coca-Cola 300ml Can,Coca-Cola,Reg,CAN,7,7,1,1,1,None,500,150,0,0,0
SO200063,2026-01-01,2026-01-02,2026-01-02,BLR-South,CUST1111,Quick-Commerce,43.2,DC-CAN-300,Diet Coke 300ml Can,Diet Coke,Zero,CAN,8,6,1,0,0,DC stock-out (forecast miss),540,168,2,1080,336
SO200064,2026-01-01,2026-01-03,2026-01-03,BLR-South,CUST1278,General-Trade,26.2,DC-CAN-300,Diet Coke 300ml Can,Diet Coke,Zero,CAN,14,14,1,1,1,None,540,168,0,0,0
SO200065,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1125,Modern-Trade,30.8,CC-PET-750,Coca-Cola 750ml PET,Coca-Cola,Reg,PET,14,14,1,1,1,None,360,104,0,0,0
SO200066,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1502,HoReCa,21.7,DC-CAN-250,Diet Coke 250ml Can,Diet Coke,Zero,CAN,9,9,1,1,1,None,470,150,0,0,0
SO200067,2026-01-01,2026-01-03,2026-01-03,BLR-East,CUST1039,General-Trade,15.2,CC-CAN-300,Coca-Cola 300ml Can,Coca-Cola,Reg,CAN,3,3,1,1,1,None,500,150,0,0,0
SO200068,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1501,HoReCa,20.8,CC-PET-750,Coca-Cola 750ml PET,Coca-Cola,Reg,PET,10,10,1,1,1,None,360,104,0,0,0
SO200069,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1411,General-Trade,20.1,TU-PET-750,Thums Up 750ml PET,Thums Up,Reg,PET,27,27,1,1,1,None,350,100,0,0,0
SO200070,2026-01-01,2026-01-02,2026-01-02,BLR-South,CUST1444,Quick-Commerce,11.1,DC-CAN-250,Diet Coke 250ml Can,Diet Coke,Zero,CAN,7,7,1,1,1,None,470,150,0,0,0
SO200071,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1442,General-Trade,40.7,TU-PET-750,Thums Up 750ml PET,Thums Up,Reg,PET,18,18,1,1,1,None,350,100,0,0,0
SO200072,2026-01-01,2026-01-02,2026-01-02,BLR-South,CUST1097,Quick-Commerce,17.1,CZ-PET-750,Coke Zero 750ml PET,Coke Zero,Zero,PET,5,5,1,1,1,None,430,132,0,0,0
SO200073,2026-01-01,2026-01-02,2026-01-02,BLR-South,CUST1484,Quick-Commerce,27.7,CZ-CAN-300,Coke Zero 300ml Can,Coke Zero,Zero,CAN,4,4,1,1,1,None,520,160,0,0,0
SO200074,2026-01-01,2026-01-02,2026-01-02,BLR-South,CUST1309,Quick-Commerce,22.7,DC-CAN-250,Diet Coke 250ml Can,Diet Coke,Zero,CAN,5,3,1,0,0,Order/picking error,470,150,2,940,300
SO200075,2026-01-01,2026-01-03,2026-01-04,BLR-South,CUST1500,General-Trade,18.7,CZ-CAN-300,Coke Zero 300ml Can,Coke Zero,Zero,CAN,26,26,0,1,0,Vehicle unavailability,520,160,0,0,0
SO200076,2026-01-01,2026-01-03,2026-01-03,BLR-South,CUST1456,HoReCa,12.5,DC-CAN-300,Diet Coke 300ml Can,Diet Coke,Zero,CAN,2,2,1,1,1,None,540,168,0,0,0
SO200077,2026-01-01,2026-01-02,2026-01-02,BLR-North,CUST1301,Quick-Commerce,41.4,TU-PET-750,Thums Up 750ml PET,Thums Up,Reg,PET,5,5,1,1,1,None,350,100,0,0,0
SO200078,2026-01-01,2026-01-02,2026-01-02,BLR-South,CUST1194,Quick-Commerce,17.2,CZ-PET-750,Coke Zero 750ml PET,Coke Zero,Zero,PET,5,5,1,1,1,None,430,132,0,0,0
SO200079,2026-01-01,2026-01-03,2026-01-03,BLR-South,CUST1060,General-Trade,4.5,CC-PET-750,Coca-Cola 750ml PET,Coca-Cola,Reg,PET,8,8,1,1,1,None,360,104,0,0,0
SO200080,2026-01-01,2026-01-03,2026-01-03,BLR-East,CUST1052,General-Trade,20.2,CZ-PET-750,Coke Zero 750ml PET,Coke Zero,Zero,PET,5,5,1,1,1,None,430,132,0,0,0
SO200081,2026-01-01,2026-01-03,2026-01-03,BLR-East,CUST1202,Modern-Trade,34.4,DC-CAN-300,Diet Coke 300ml Can,Diet Coke,Zero,CAN,2,2,1,1,1,None,540,168,0,0,0
SO200082,2026-01-01,2026-01-02,2026-01-02,BLR-North,CUST1421,Quick-Commerce,26.6,TU-PET-750,Thums Up 750ml PET,Thums Up,Reg,PET,6,6,1,1,1,None,350,100,0,0,0
SO200083,2026-01-01,2026-01-03,2026-01-03,BLR-East,CUST1262,Modern-Trade,30.9,DC-CAN-250,Diet Coke 250ml Can,Diet Coke,Zero,CAN,9,9,1,1,1,None,470,150,0,0,0
SO200084,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1250,General-Trade,27.0,DC-CAN-250,Diet Coke 250ml Can,Diet Coke,Zero,CAN,8,8,1,1,1,None,470,150,0,0,0
SO200085,2026-01-01,2026-01-02,2026-01-02,BLR-South,CUST1127,Quick-Commerce,8.5,DC-CAN-300,Diet Coke 300ml Can,Diet Coke,Zero,CAN,7,6,1,0,0,Damage / quality rejection,540,168,1,540,168
SO200086,2026-01-01,2026-01-02,2026-01-02,BLR-East,CUST1293,Quick-Commerce,42.4,CC-CAN-300,Coca-Cola 300ml Can,Coca-Cola,Reg,CAN,6,6,1,1,1,None,500,150,0,0,0
SO200087,2026-01-01,2026-01-02,2026-01-02,BLR-South,CUST1331,Quick-Commerce,21.3,DC-PET-750,Diet Coke 750ml PET,Diet Coke,Zero,PET,3,3,1,1,1,None,450,138,0,0,0
SO200088,2026-01-01,2026-01-02,2026-01-02,BLR-North,CUST1510,Quick-Commerce,22.9,DC-CAN-300,Diet Coke 300ml Can,Diet Coke,Zero,CAN,8,8,1,1,1,None,540,168,0,0,0
SO200089,2026-01-01,2026-01-03,2026-01-03,BLR-South,CUST1379,General-Trade,35.8,CZ-CAN-300,Coke Zero 300ml Can,Coke Zero,Zero,CAN,12,12,1,1,1,None,520,160,0,0,0
SO200090,2026-01-01,2026-01-03,2026-01-03,BLR-South,CUST1315,Modern-Trade,20.8,DC-CAN-250,Diet Coke 250ml Can,Diet Coke,Zero,CAN,8,8,1,1,1,None,470,150,0,0,0
SO200091,2026-01-01,2026-01-02,2026-01-02,BLR-North,CUST1473,Quick-Commerce,29.4,TU-PET-750,Thums Up 750ml PET,Thums Up,Reg,PET,4,4,1,1,1,None,350,100,0,0,0
SO200092,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1220,Modern-Trade,6.5,CC-CAN-300,Coca-Cola 300ml Can,Coca-Cola,Reg,CAN,12,12,1,1,1,None,500,150,0,0,0
SO200093,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1486,Modern-Trade,11.0,DC-CAN-300,Diet Coke 300ml Can,Diet Coke,Zero,CAN,6,6,1,1,1,None,540,168,0,0,0
SO200094,2026-01-01,2026-01-02,2026-01-02,BLR-East,CUST1192,Quick-Commerce,8.9,CC-PET-750,Coca-Cola 750ml PET,Coca-Cola,Reg,PET,5,5,1,1,1,None,360,104,0,0,0
SO200095,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1066,General-Trade,20.2,TU-PET-750,Thums Up 750ml PET,Thums Up,Reg,PET,29,29,1,1,1,None,350,100,0,0,0
SO200096,2026-01-01,2026-01-02,2026-01-02,BLR-South,CUST1217,Quick-Commerce,4.1,TU-PET-750,Thums Up 750ml PET,Thums Up,Reg,PET,3,3,1,1,1,None,350,100,0,0,0
SO200097,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1066,General-Trade,20.2,DC-CAN-300,Diet Coke 300ml Can,Diet Coke,Zero,CAN,20,20,1,1,1,None,540,168,0,0,0
SO200098,2026-01-01,2026-01-03,2026-01-03,BLR-South,CUST1061,Modern-Trade,36.6,CZ-PET-750,Coke Zero 750ml PET,Coke Zero,Zero,PET,9,9,1,1,1,None,430,132,0,0,0
SO200099,2026-01-01,2026-01-03,2026-01-03,BLR-South,CUST1458,General-Trade,11.2,CC-PET-750,Coca-Cola 750ml PET,Coca-Cola,Reg,PET,4,4,1,1,1,None,360,104,0,0,0
SO200100,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1413,HoReCa,44.0,CZ-CAN-300,Coke Zero 300ml Can,Coke Zero,Zero,CAN,5,5,1,1,1,None,520,160,0,0,0
SO200101,2026-01-01,2026-01-03,2026-01-03,BLR-South,CUST1115,General-Trade,40.1,DC-CAN-300,Diet Coke 300ml Can,Diet Coke,Zero,CAN,20,20,1,1,1,None,540,168,0,0,0
SO200102,2026-01-01,2026-01-02,2026-01-02,BLR-North,CUST1435,Quick-Commerce,25.4,TU-PET-750,Thums Up 750ml PET,Thums Up,Reg,PET,6,6,1,1,1,None,350,100,0,0,0
SO200103,2026-01-01,2026-01-02,2026-01-02,BLR-North,CUST1035,Quick-Commerce,40.8,DC-CAN-250,Diet Coke 250ml Can,Diet Coke,Zero,CAN,5,5,1,1,1,None,470,150,0,0,0
SO200104,2026-01-01,2026-01-03,2026-01-03,BLR-South,CUST1147,Modern-Trade,38.9,DC-CAN-300,Diet Coke 300ml Can,Diet Coke,Zero,CAN,7,7,1,1,1,None,540,168,0,0,0
SO200105,2026-01-01,2026-01-03,2026-01-03,BLR-East,CUST1367,General-Trade,36.9,CC-CAN-300,Coca-Cola 300ml Can,Coca-Cola,Reg,CAN,16,16,1,1,1,None,500,150,0,0,0
SO200106,2026-01-01,2026-01-03,2026-01-03,BLR-East,CUST1157,General-Trade,8.9,CC-PET-750,Coca-Cola 750ml PET,Coca-Cola,Reg,PET,45,45,1,1,1,None,360,104,0,0,0
SO200107,2026-01-01,2026-01-03,2026-01-03,BLR-South,CUST1379,General-Trade,35.8,CC-CAN-300,Coca-Cola 300ml Can,Coca-Cola,Reg,CAN,19,19,1,1,1,None,500,150,0,0,0
SO200108,2026-01-01,2026-01-02,2026-01-02,BLR-South,CUST1454,Quick-Commerce,12.8,CC-CAN-300,Coca-Cola 300ml Can,Coca-Cola,Reg,CAN,4,4,1,1,1,None,500,150,0,0,0
SO200109,2026-01-01,2026-01-03,2026-01-03,BLR-South,CUST1034,Modern-Trade,9.2,TU-PET-750,Thums Up 750ml PET,Thums Up,Reg,PET,3,3,1,1,1,None,350,100,0,0,0
SO200110,2026-01-01,2026-01-03,2026-01-05,BLR-South,CUST1012,General-Trade,17.0,CC-PET-750,Coca-Cola 750ml PET,Coca-Cola,Reg,PET,36,36,0,1,0,Late dispatch from DC,360,104,0,0,0
SO200111,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1488,General-Trade,24.4,TU-PET-750,Thums Up 750ml PET,Thums Up,Reg,PET,31,31,1,1,1,None,350,100,0,0,0
SO200112,2026-01-01,2026-01-02,2026-01-02,BLR-South,CUST1270,Quick-Commerce,31.4,CZ-CAN-300,Coke Zero 300ml Can,Coke Zero,Zero,CAN,13,13,1,1,1,None,520,160,0,0,0
SO200113,2026-01-01,2026-01-02,2026-01-03,BLR-East,CUST1263,Quick-Commerce,31.2,CZ-PET-750,Coke Zero 750ml PET,Coke Zero,Zero,PET,6,6,0,1,0,Route / traffic delay,430,132,0,0,0
SO200114,2026-01-01,2026-01-03,2026-01-03,BLR-East,CUST1241,General-Trade,34.7,DC-CAN-300,Diet Coke 300ml Can,Diet Coke,Zero,CAN,71,71,1,1,1,None,540,168,0,0,0
SO200115,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1225,HoReCa,20.1,CC-CAN-300,Coca-Cola 300ml Can,Coca-Cola,Reg,CAN,1,1,1,1,1,None,500,150,0,0,0
SO200116,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1358,Modern-Trade,6.1,CZ-CAN-300,Coke Zero 300ml Can,Coke Zero,Zero,CAN,13,13,1,1,1,None,520,160,0,0,0
SO200117,2026-01-01,2026-01-02,2026-01-04,BLR-North,CUST1301,Quick-Commerce,41.4,DC-PET-750,Diet Coke 750ml PET,Diet Coke,Zero,PET,4,4,0,1,0,Late dispatch from DC,450,138,0,0,0
SO200118,2026-01-01,2026-01-02,2026-01-02,BLR-East,CUST1084,Quick-Commerce,8.3,DC-CAN-250,Diet Coke 250ml Can,Diet Coke,Zero,CAN,5,5,1,1,1,None,470,150,0,0,0
SO200119,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1325,General-Trade,35.7,CZ-CAN-300,Coke Zero 300ml Can,Coke Zero,Zero,CAN,9,9,1,1,1,None,520,160,0,0,0
SO200120,2026-01-01,2026-01-02,2026-01-02,BLR-North,CUST1347,Quick-Commerce,32.1,CC-PET-750,Coca-Cola 750ml PET,Coca-Cola,Reg,PET,8,8,1,1,1,None,360,104,0,0,0
SO200121,2026-01-01,2026-01-02,2026-01-02,BLR-South,CUST1059,Quick-Commerce,25.1,DC-CAN-250,Diet Coke 250ml Can,Diet Coke,Zero,CAN,6,6,1,1,1,None,470,150,0,0,0
SO200122,2026-01-01,2026-01-02,2026-01-02,BLR-South,CUST1195,Quick-Commerce,28.9,CZ-CAN-300,Coke Zero 300ml Can,Coke Zero,Zero,CAN,5,5,1,1,1,None,520,160,0,0,0
SO200123,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1411,General-Trade,20.1,DC-CAN-300,Diet Coke 300ml Can,Diet Coke,Zero,CAN,40,40,1,1,1,None,540,168,0,0,0
SO200124,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1321,Modern-Trade,17.8,DC-CAN-300,Diet Coke 300ml Can,Diet Coke,Zero,CAN,9,9,1,1,1,None,540,168,0,0,0
SO200125,2026-01-01,2026-01-02,2026-01-02,BLR-South,CUST1070,Quick-Commerce,11.3,DC-CAN-300,Diet Coke 300ml Can,Diet Coke,Zero,CAN,5,5,1,1,1,None,540,168,0,0,0
SO200126,2026-01-01,2026-01-03,2026-01-03,BLR-East,CUST1020,General-Trade,34.3,CZ-CAN-300,Coke Zero 300ml Can,Coke Zero,Zero,CAN,23,23,1,1,1,None,520,160,0,0,0
